ignore,description
1-F19.12*,1-Other psychoactive substance abuse with intoxication
1-F19.13*,1-Other psychoactive substance abuse with withdrawal
1-F19.15*,1-Other psychoactive substance abuse with psychoactive substance-induced psychotic disorder
1-F19.22*,1-Other psychoactive substance dependence with intoxication
1-F19.23*,1-Other psychoactive substance dependence with withdrawal
1-F19.25*,1-Other psychoactive substance dependence with psychoactive substance-induced psychotic disorder
1-F19.92*,"1-Other psychoactive substance use, unspecified with intoxication"
1-F19.93*,"1-Other psychoactive substance use, unspecified with withdrawal"
1-F19.95*,"1-Other psychoactive substance use, unspecified with psychoactive substance-induced psychotic disorder"
1-G51.3*,1-Clonic hemifacial spasm
1-G56.0*,1-Carpal tunnel syndrome
1-G56.1*,1-Other lesions of median nerve
1-G56.2*,1-Lesion of ulnar nerve
1-G56.3*,1-Lesion of radial nerve
1-G56.4*,1-Causalgia of upper limb
1-G56.8*,1-Other specified mononeuropathies of upper limb
1-G56.9*,1-Unspecified mononeuropathy of upper limb
1-G57.0*,1-Lesion of sciatic nerve
1-G57.1*,1-Meralgia paresthetica
1-G57.2*,1-Lesion of femoral nerve
1-G57.3*,1-Lesion of lateral popliteal nerve
1-G57.4*,1-Lesion of medial popliteal nerve
1-G57.5*,1-Tarsal tunnel syndrome
1-G57.6*,1-Lesion of plantar nerve
1-G57.7*,1-Causalgia of lower limb
1-G57.8*,1-Other specified mononeuropathies of lower limb
1-G57.9*,1-Unspecified mononeuropathy of lower limb
1-G81.0*,1-Flaccid hemiplegia
1-G81.1*,1-Spastic hemiplegia
1-G81.9*,"1-Hemiplegia, unspecified"
1-G83.1*,1-Monoplegia of lower limb
1-G83.2*,1-Monoplegia of upper limb
1-G83.3*,"1-Monoplegia, unspecified"
1-G90.51*,1-Complex regional pain syndrome I of upper limb
1-G90.52*,1-Complex regional pain syndrome I of lower limb
1-H00.01*,1-Hordeolum externum
1-H00.02*,1-Hordeolum internum
1-H00.03*,1-Abscess of eyelid
1-H00.1*,1-Chalazion
1-H01.00*,1-Unspecified blepharitis
1-H01.01*,1-Ulcerative blepharitis
1-H01.02*,1-Squamous blepharitis
1-H01.11*,1-Allergic dermatitis of eyelid
1-H01.12*,1-Discoid lupus erythematosus of eyelid
1-H01.13*,1-Eczematous dermatitis of eyelid
1-H01.14*,1-Xeroderma of eyelid
1-H02.00*,1-Unspecified entropion of eyelid
1-H02.01*,1-Cicatricial entropion of eyelid
1-H02.02*,1-Mechanical entropion of eyelid
1-H02.03*,1-Senile entropion of eyelid
1-H02.04*,1-Spastic entropion of eyelid
1-H02.05*,1-Trichiasis without entropion
1-H02.10*,1-Unspecified ectropion of eyelid
1-H02.11*,1-Cicatricial ectropion of eyelid
1-H02.12*,1-Mechanical ectropion of eyelid
1-H02.13*,1-Senile ectropion of eyelid
1-H02.14*,1-Spastic ectropion of eyelid
1-H02.15*,1-Paralytic ectropion of eyelid
1-H02.20*,1-Unspecified lagophthalmos
1-H02.21*,1-Cicatricial lagophthalmos
1-H02.22*,1-Mechanical lagophthalmos
1-H02.23*,1-Paralytic lagophthalmos
1-H02.3*,1-Blepharochalasis
1-H02.40*,1-Unspecified ptosis of eyelid
1-H02.41*,1-Mechanical ptosis of eyelid
1-H02.42*,1-Myogenic ptosis of eyelid
1-H02.43*,1-Paralytic ptosis of eyelid
1-H02.51*,1-Abnormal innervation syndrome
1-H02.52*,1-Blepharophimosis
1-H02.53*,1-Eyelid retraction
1-H02.6*,1-Xanthelasma of eyelid
1-H02.71*,1-Chloasma of eyelid and periocular area
1-H02.72*,1-Madarosis of eyelid and periocular area
1-H02.73*,1-Vitiligo of eyelid and periocular area
1-H02.81*,1-Retained foreign body in eyelid
1-H02.82*,1-Cysts of eyelid
1-H02.83*,1-Dermatochalasis of eyelid
1-H02.84*,1-Edema of eyelid
1-H02.85*,1-Elephantiasis of eyelid
1-H02.86*,1-Hypertrichosis of eyelid
1-H02.87*,1-Vascular anomalies of eyelid
1-H02.88*,1-Meibomian gland dysfunction of eyelid
1-H04.00*,1-Unspecified dacryoadenitis
1-H04.01*,1-Acute dacryoadenitis
1-H04.02*,1-Chronic dacryoadenitis
1-H04.03*,1-Chronic enlargement of lacrimal gland
1-H04.11*,1-Dacryops
1-H04.12*,1-Dry eye syndrome
1-H04.13*,1-Lacrimal cyst
1-H04.14*,1-Primary lacrimal gland atrophy
1-H04.15*,1-Secondary lacrimal gland atrophy
1-H04.16*,1-Lacrimal gland dislocation
1-H04.20*,1-Unspecified epiphora
1-H04.21*,1-Epiphora due to excess lacrimation
1-H04.22*,1-Epiphora due to insufficient drainage
1-H04.30*,1-Unspecified dacryocystitis
1-H04.31*,1-Phlegmonous dacryocystitis
1-H04.32*,1-Acute dacryocystitis
1-H04.33*,1-Acute lacrimal canaliculitis
1-H04.41*,1-Chronic dacryocystitis
1-H04.42*,1-Chronic lacrimal canaliculitis
1-H04.43*,1-Chronic lacrimal mucocele
1-H04.51*,1-Dacryolith
1-H04.52*,1-Eversion of lacrimal punctum
1-H04.53*,1-Neonatal obstruction of nasolacrimal duct
1-H04.54*,1-Stenosis of lacrimal canaliculi
1-H04.55*,1-Acquired stenosis of nasolacrimal duct
1-H04.56*,1-Stenosis of lacrimal punctum
1-H04.57*,1-Stenosis of lacrimal sac
1-H04.61*,1-Lacrimal fistula
1-H04.81*,1-Granuloma of lacrimal passages
1-H05.01*,1-Cellulitis of orbit
1-H05.02*,1-Osteomyelitis of orbit
1-H05.03*,1-Periostitis of orbit
1-H05.04*,1-Tenonitis of orbit
1-H05.11*,1-Granuloma of orbit
1-H05.12*,1-Orbital myositis
1-H05.21*,1-Displacement (lateral) of globe
1-H05.22*,1-Edema of orbit
1-H05.23*,1-Hemorrhage of orbit
1-H05.24*,1-Constant exophthalmos
1-H05.25*,1-Intermittent exophthalmos
1-H05.26*,1-Pulsating exophthalmos
1-H05.31*,1-Atrophy of orbit
1-H05.32*,1-Deformity of orbit due to bone disease
1-H05.33*,1-Deformity of orbit due to trauma or surgery
1-H05.34*,1-Enlargement of orbit
1-H05.35*,1-Exostosis of orbit
1-H05.40*,1-Unspecified enophthalmos
1-H05.41*,1-Enophthalmos due to atrophy of orbital tissue
1-H05.42*,1-Enophthalmos due to trauma or surgery
1-H05.5*,1-Retained (old) foreign body following penetrating wound of orbit
1-H05.81*,1-Cyst of orbit
1-H05.82*,1-Myopathy of extraocular muscles
1-H10.01*,1-Acute follicular conjunctivitis
1-H10.02*,1-Other mucopurulent conjunctivitis
1-H10.1*,1-Acute atopic conjunctivitis
1-H10.21*,1-Acute toxic conjunctivitis
1-H10.22*,1-Pseudomembranous conjunctivitis
1-H10.23*,"1-Serous conjunctivitis, except viral"
1-H10.3*,1-Unspecified acute conjunctivitis
1-H10.40*,1-Unspecified chronic conjunctivitis
1-H10.41*,1-Chronic giant papillary conjunctivitis
1-H10.42*,1-Simple chronic conjunctivitis
1-H10.43*,1-Chronic follicular conjunctivitis
1-H10.50*,1-Unspecified blepharoconjunctivitis
1-H10.51*,1-Ligneous conjunctivitis
1-H10.52*,1-Angular blepharoconjunctivitis
1-H10.53*,1-Contact blepharoconjunctivitis
1-H10.81*,1-Pingueculitis
1-H10.82*,1-Rosacea conjunctivitis
1-H11.00*,1-Unspecified pterygium of eye
1-H11.01*,1-Amyloid pterygium
1-H11.02*,1-Central pterygium of eye
1-H11.03*,1-Double pterygium of eye
1-H11.04*,"1-Peripheral pterygium of eye, stationary"
1-H11.05*,"1-Peripheral pterygium of eye, progressive"
1-H11.06*,1-Recurrent pterygium of eye
1-H11.11*,1-Conjunctival deposits
1-H11.12*,1-Conjunctival concretions
1-H11.13*,1-Conjunctival pigmentations
1-H11.14*,"1-Conjunctival xerosis, unspecified"
1-H11.15*,1-Pinguecula
1-H11.21*,1-Conjunctival adhesions and strands (localized)
1-H11.22*,1-Conjunctival granuloma
1-H11.23*,1-Symblepharon
1-H11.24*,1-Scarring of conjunctiva
1-H11.3*,1-Conjunctival hemorrhage
1-H11.41*,1-Vascular abnormalities of conjunctiva
1-H11.42*,1-Conjunctival edema
1-H11.43*,1-Conjunctival hyperemia
1-H11.44*,1-Conjunctival cysts
1-H11.81*,1-Pseudopterygium of conjunctiva
1-H11.82*,1-Conjunctivochalasis
1-H15.00*,1-Unspecified scleritis
1-H15.01*,1-Anterior scleritis
1-H15.02*,1-Brawny scleritis
1-H15.03*,1-Posterior scleritis
1-H15.04*,1-Scleritis with corneal involvement
1-H15.05*,1-Scleromalacia perforans
1-H15.09*,1-Other scleritis
1-H15.10*,1-Unspecified episcleritis
1-H15.11*,1-Episcleritis periodica fugax
1-H15.12*,1-Nodular episcleritis
1-H15.81*,1-Equatorial staphyloma
1-H15.82*,1-Localized anterior staphyloma
1-H15.83*,1-Staphyloma posticum
1-H15.84*,1-Scleral ectasia
1-H15.85*,1-Ring staphyloma
1-H16.00*,1-Unspecified corneal ulcer
1-H16.01*,1-Central corneal ulcer
1-H16.02*,1-Ring corneal ulcer
1-H16.03*,1-Corneal ulcer with hypopyon
1-H16.04*,1-Marginal corneal ulcer
1-H16.05*,1-Mooren's corneal ulcer
1-H16.06*,1-Mycotic corneal ulcer
1-H16.07*,1-Perforated corneal ulcer
1-H16.10*,1-Unspecified superficial keratitis
1-H16.11*,1-Macular keratitis
1-H16.12*,1-Filamentary keratitis
1-H16.13*,1-Photokeratitis
1-H16.14*,1-Punctate keratitis
1-H16.20*,1-Unspecified keratoconjunctivitis
1-H16.21*,1-Exposure keratoconjunctivitis
1-H16.22*,"1-Keratoconjunctivitis sicca, not specified as Sjögren's"
1-H16.23*,1-Neurotrophic keratoconjunctivitis
1-H16.24*,1-Ophthalmia nodosa
1-H16.25*,1-Phlyctenular keratoconjunctivitis
1-H16.26*,"1-Vernal keratoconjunctivitis, with limbar and corneal involvement"
1-H16.29*,1-Other keratoconjunctivitis
1-H16.30*,1-Unspecified interstitial keratitis
1-H16.31*,1-Corneal abscess
1-H16.32*,1-Diffuse interstitial keratitis
1-H16.33*,1-Sclerosing keratitis
1-H16.39*,1-Other interstitial and deep keratitis
1-H16.40*,1-Unspecified corneal neovascularization
1-H16.41*,1-Ghost vessels (corneal)
1-H16.42*,1-Pannus (corneal)
1-H16.43*,1-Localized vascularization of cornea
1-H16.44*,1-Deep vascularization of cornea
1-H17.0*,1-Adherent leukoma
1-H17.1*,1-Central corneal opacity
1-H17.81*,1-Minor opacity of cornea
1-H17.82*,1-Peripheral opacity of cornea
1-H18.00*,1-Unspecified corneal deposit
1-H18.01*,1-Anterior corneal pigmentations
1-H18.02*,1-Argentous corneal deposits
1-H18.03*,1-Corneal deposits in metabolic disorders
1-H18.04*,1-Kayser-Fleischer ring
1-H18.05*,1-Posterior corneal pigmentations
1-H18.06*,1-Stromal corneal pigmentations
1-H18.1*,1-Bullous keratopathy
1-H18.21*,1-Corneal edema secondary to contact lens
1-H18.22*,1-Idiopathic corneal edema
1-H18.23*,1-Secondary corneal edema
1-H18.31*,1-Folds and rupture in Bowman's membrane
1-H18.32*,1-Folds in Descemet's membrane
1-H18.33*,1-Rupture in Descemet's membrane
1-H18.41*,1-Arcus senilis
1-H18.42*,1-Band keratopathy
1-H18.44*,1-Keratomalacia
1-H18.45*,1-Nodular corneal degeneration
1-H18.46*,1-Peripheral corneal degeneration
1-H18.50*,1-Unspecified hereditary corneal dystrophies
1-H18.51*,1-Endothelial corneal dystrophy
1-H18.52*,1-Epithelial (juvenile) corneal dystrophy
1-H18.53*,1-Granular corneal dystrophy
1-H18.54*,1-Lattice corneal dystrophy
1-H18.55*,1-Macular corneal dystrophy
1-H18.59*,1-Other hereditary corneal dystrophies
1-H18.60*,"1-Keratoconus, unspecified"
1-H18.61*,"1-Keratoconus, stable"
1-H18.62*,"1-Keratoconus, unstable"
1-H18.71*,1-Corneal ectasia
1-H18.72*,1-Corneal staphyloma
1-H18.73*,1-Descemetocele
1-H18.79*,1-Other corneal deformities
1-H18.81*,1-Anesthesia and hypoesthesia of cornea
1-H18.82*,1-Corneal disorder due to contact lens
1-H18.83*,1-Recurrent erosion of cornea
1-H18.89*,1-Other specified disorders of cornea
1-H20.01*,1-Primary iridocyclitis
1-H20.02*,1-Recurrent acute iridocyclitis
1-H20.03*,1-Secondary infectious iridocyclitis
1-H20.04*,1-Secondary noninfectious iridocyclitis
1-H20.05*,1-Hypopyon
1-H20.1*,1-Chronic iridocyclitis
1-H20.2*,1-Lens-induced iridocyclitis
1-H20.81*,1-Fuchs' heterochromic cyclitis
1-H20.82*,1-Vogt-Koyanagi syndrome
1-H21.0*,1-Hyphema
1-H21.1X*,1-Other vascular disorders of iris and ciliary body
1-H21.21*,1-Degeneration of chamber angle
1-H21.22*,1-Degeneration of ciliary body
1-H21.23*,1-Degeneration of iris (pigmentary)
1-H21.24*,1-Degeneration of pupillary margin
1-H21.25*,1-Iridoschisis
1-H21.26*,1-Iris atrophy (essential) (progressive)
1-H21.27*,1-Miotic pupillary cyst
1-H21.30*,"1-Idiopathic cysts of iris, ciliary body or anterior chamber"
1-H21.31*,1-Exudative cysts of iris or anterior chamber
1-H21.32*,"1-Implantation cysts of iris, ciliary body or anterior chamber"
1-H21.33*,"1-Parasitic cyst of iris, ciliary body or anterior chamber"
1-H21.34*,1-Primary cyst of pars plana
1-H21.35*,1-Exudative cyst of pars plana
1-H21.4*,1-Pupillary membranes
1-H21.50*,1-Unspecified adhesions of iris
1-H21.51*,1-Anterior synechiae (iris)
1-H21.52*,1-Goniosynechiae
1-H21.53*,1-Iridodialysis
1-H21.54*,1-Posterior synechiae (iris)
1-H21.55*,1-Recession of chamber angle
1-H21.56*,1-Pupillary abnormalities
1-H25.01*,1-Cortical age-related cataract
1-H25.03*,1-Anterior subcapsular polar age-related cataract
1-H25.04*,1-Posterior subcapsular polar age-related cataract
1-H25.09*,1-Other age-related incipient cataract
1-H25.1*,1-Age-related nuclear cataract
1-H25.2*,"1-Age-related cataract, morgagnian type"
1-H25.81*,1-Combined forms of age-related cataract
1-H26.00*,1-Unspecified infantile and juvenile cataract
1-H26.01*,"1-Infantile and juvenile cortical, lamellar, or zonular cataract"
1-H26.03*,1-Infantile and juvenile nuclear cataract
1-H26.04*,1-Anterior subcapsular polar infantile and juvenile cataract
1-H26.05*,1-Posterior subcapsular polar infantile and juvenile cataract
1-H26.06*,1-Combined forms of infantile and juvenile cataract
1-H26.10*,1-Unspecified traumatic cataract
1-H26.11*,1-Localized traumatic opacities
1-H26.12*,1-Partially resolved traumatic cataract
1-H26.13*,1-Total traumatic cataract
1-H26.21*,1-Cataract with neovascularization
1-H26.22*,1-Cataract secondary to ocular disorders (degenerative) (inflammatory)
1-H26.23*,1-Glaucomatous flecks (subcapsular)
1-H26.3*,1-Drug-induced cataract
1-H26.41*,1-Soemmering's ring
1-H26.49*,1-Other secondary cataract
1-H27.0*,1-Aphakia
1-H27.11*,1-Subluxation of lens
1-H27.12*,1-Anterior dislocation of lens
1-H27.13*,1-Posterior dislocation of lens
1-H30.00*,1-Unspecified focal chorioretinal inflammation
1-H30.01*,"1-Focal chorioretinal inflammation, juxtapapillary"
1-H30.02*,1-Focal chorioretinal inflammation of posterior pole
1-H30.03*,"1-Focal chorioretinal inflammation, peripheral"
1-H30.04*,"1-Focal chorioretinal inflammation, macular or paramacular"
1-H30.10*,1-Unspecified disseminated chorioretinal inflammation
1-H30.11*,1-Disseminated chorioretinal inflammation of posterior pole
1-H30.12*,"1-Disseminated chorioretinal inflammation, peripheral"
1-H30.13*,"1-Disseminated chorioretinal inflammation, generalized"
1-H30.14*,1-Acute posterior multifocal placoid pigment epitheliopathy
1-H30.2*,1-Posterior cyclitis
1-H30.81*,1-Harada's disease
1-H30.89*,1-Other chorioretinal inflammations
1-H30.9*,1-Unspecified chorioretinal inflammation
1-H31.00*,1-Unspecified chorioretinal scars
1-H31.01*,1-Macula scars of posterior pole (postinflammatory) (post-traumatic)
1-H31.02*,1-Solar retinopathy
1-H31.09*,1-Other chorioretinal scars
1-H31.10*,1-Unspecified choroidal degeneration
1-H31.11*,1-Age-related choroidal atrophy
1-H31.12*,1-Diffuse secondary atrophy of choroid
1-H31.30*,1-Unspecified choroidal hemorrhage
1-H31.31*,1-Expulsive choroidal hemorrhage
1-H31.32*,1-Choroidal rupture
1-H31.40*,1-Unspecified choroidal detachment
1-H31.41*,1-Hemorrhagic choroidal detachment
1-H31.42*,1-Serous choroidal detachment
1-H33.00*,1-Unspecified retinal detachment with retinal break
1-H33.01*,1-Retinal detachment with single break
1-H33.02*,1-Retinal detachment with multiple breaks
1-H33.03*,1-Retinal detachment with giant retinal tear
1-H33.04*,1-Retinal detachment with retinal dialysis
1-H33.05*,1-Total retinal detachment
1-H33.10*,1-Unspecified retinoschisis
1-H33.11*,1-Cyst of ora serrata
1-H33.12*,1-Parasitic cyst of retina
1-H33.19*,1-Other retinoschisis and retinal cysts
1-H33.2*,1-Serous retinal detachment
1-H33.30*,1-Unspecified retinal break
1-H33.31*,1-Horseshoe tear of retina without detachment
1-H33.32*,1-Round hole of retina without detachment
1-H33.33*,1-Multiple defects of retina without detachment
1-H33.4*,1-Traction detachment of retina
1-H34.0*,1-Transient retinal artery occlusion
1-H34.1*,1-Central retinal artery occlusion
1-H34.21*,1-Partial retinal artery occlusion
1-H34.23*,1-Retinal artery branch occlusion
1-H34.81*,1-Central retinal vein occlusion
1-H34.82*,1-Venous engorgement
1-H34.83*,1-Tributary (branch) retinal vein occlusion
1-H35.01*,1-Changes in retinal vascular appearance
1-H35.02*,1-Exudative retinopathy
1-H35.03*,1-Hypertensive retinopathy
1-H35.04*,"1-Retinal micro-aneurysms, unspecified"
1-H35.05*,"1-Retinal neovascularization, unspecified"
1-H35.06*,1-Retinal vasculitis
1-H35.07*,1-Retinal telangiectasis
1-H35.10*,"1-Retinopathy of prematurity, unspecified"
1-H35.11*,"1-Retinopathy of prematurity, stage 0"
