Name	Name1	Desc	Level1	Level2	Level3	Level4	Level5	Level6	Level7	Level8	V1	added
A04.8	A048	Other specified bacterial intestinal infections	Root	A00-B99	A00-A09	A04	A04.8				A048    Other specified bacterial intestinal infections	0
A04.9	A049	Bacterial intestinal infection, unspecified	Root	A00-B99	A00-A09	A04	A04.9				A049    Bacterial intestinal infection, unspecified	0
A05	A05	Other bacterial foodborne intoxications, not elsewhere classified	Root	A00-B99	A00-A09	A05					NA	0
A05.0	A050	Foodborne staphylococcal intoxication	Root	A00-B99	A00-A09	A05	A05.0				A050    Foodborne staphylococcal intoxication	0
A05.1	A051	Botulism food poisoning	Root	A00-B99	A00-A09	A05	A05.1				A051    Botulism food poisoning	0
A05.2	A052	Foodborne Clostridium perfringens [Clostridium welchii] intoxication	Root	A00-B99	A00-A09	A05	A05.2				A052    Foodborne Clostridium perfringens [Clostridium welchii] intoxication	0
A05.3	A053	Foodborne Vibrio parahaemolyticus intoxication	Root	A00-B99	A00-A09	A05	A05.3				A053    Foodborne Vibrio parahaemolyticus intoxication	0
A05.4	A054	Foodborne Bacillus cereus intoxication	Root	A00-B99	A00-A09	A05	A05.4				A054    Foodborne Bacillus cereus intoxication	0
A05.5	A055	Foodborne Vibrio vulnificus intoxication	Root	A00-B99	A00-A09	A05	A05.5				A055    Foodborne Vibrio vulnificus intoxication	0
A05.8	A058	Other specified bacterial foodborne intoxications	Root	A00-B99	A00-A09	A05	A05.8				A058    Other specified bacterial foodborne intoxications	0
A05.9	A059	Bacterial foodborne intoxication, unspecified	Root	A00-B99	A00-A09	A05	A05.9				A059    Bacterial foodborne intoxication, unspecified	0
A06	A06	Amebiasis	Root	A00-B99	A00-A09	A06					NA	0
A06.0	A060	Acute amebic dysentery	Root	A00-B99	A00-A09	A06	A06.0				A060    Acute amebic dysentery	0
A06.1	A061	Chronic intestinal amebiasis	Root	A00-B99	A00-A09	A06	A06.1				A061    Chronic intestinal amebiasis	0
A06.2	A062	Amebic nondysenteric colitis	Root	A00-B99	A00-A09	A06	A06.2				A062    Amebic nondysenteric colitis	0
A06.3	A063	Ameboma of intestine	Root	A00-B99	A00-A09	A06	A06.3				A063    Ameboma of intestine	0
A06.4	A064	Amebic liver abscess	Root	A00-B99	A00-A09	A06	A06.4				A064    Amebic liver abscess	0
A06.5	A065	Amebic lung abscess	Root	A00-B99	A00-A09	A06	A06.5				A065    Amebic lung abscess	0
A06.6	A066	Amebic brain abscess	Root	A00-B99	A00-A09	A06	A06.6				A066    Amebic brain abscess	0
A06.7	A067	Cutaneous amebiasis	Root	A00-B99	A00-A09	A06	A06.7				A067    Cutaneous amebiasis	0
A06.8	A068	Amebic infection of other sites	Root	A00-B99	A00-A09	A06	A06.8				NA	0
A06.81	A0681	Amebic cystitis	Root	A00-B99	A00-A09	A06	A06.8	A06.81			A0681   Amebic cystitis	0
A06.82	A0682	Other amebic genitourinary infections	Root	A00-B99	A00-A09	A06	A06.8	A06.82			A0682   Other amebic genitourinary infections	0
A06.89	A0689	Other amebic infections	Root	A00-B99	A00-A09	A06	A06.8	A06.89			A0689   Other amebic infections	0
A06.9	A069	Amebiasis, unspecified	Root	A00-B99	A00-A09	A06	A06.9				A069    Amebiasis, unspecified	0
A07	A07	Other protozoal intestinal diseases	Root	A00-B99	A00-A09	A07					NA	0
A07.0	A070	Balantidiasis	Root	A00-B99	A00-A09	A07	A07.0				A070    Balantidiasis	0
A07.1	A071	Giardiasis [lambliasis]	Root	A00-B99	A00-A09	A07	A07.1				A071    Giardiasis [lambliasis]	0
A07.2	A072	Cryptosporidiosis	Root	A00-B99	A00-A09	A07	A07.2				A072    Cryptosporidiosis	0
A07.3	A073	Isosporiasis	Root	A00-B99	A00-A09	A07	A07.3				A073    Isosporiasis	0
A07.4	A074	Cyclosporiasis	Root	A00-B99	A00-A09	A07	A07.4				A074    Cyclosporiasis	0
A07.8	A078	Other specified protozoal intestinal diseases	Root	A00-B99	A00-A09	A07	A07.8				A078    Other specified protozoal intestinal diseases	0
A07.9	A079	Protozoal intestinal disease, unspecified	Root	A00-B99	A00-A09	A07	A07.9				A079    Protozoal intestinal disease, unspecified	0
A08	A08	Viral and other specified intestinal infections	Root	A00-B99	A00-A09	A08					NA	0
A08.0	A080	Rotaviral enteritis	Root	A00-B99	A00-A09	A08	A08.0				A080    Rotaviral enteritis	0
A08.1	A081	Acute gastroenteropathy due to Norwalk agent and other small round viruses	Root	A00-B99	A00-A09	A08	A08.1				NA	0
A08.11	A0811	Acute gastroenteropathy due to Norwalk agent	Root	A00-B99	A00-A09	A08	A08.1	A08.11			A0811   Acute gastroenteropathy due to Norwalk agent	0
A08.19	A0819	Acute gastroenteropathy due to other small round viruses	Root	A00-B99	A00-A09	A08	A08.1	A08.19			A0819   Acute gastroenteropathy due to other small round viruses	0
A08.2	A082	Adenoviral enteritis	Root	A00-B99	A00-A09	A08	A08.2				A082    Adenoviral enteritis	0
A08.3	A083	Other viral enteritis	Root	A00-B99	A00-A09	A08	A08.3				NA	0
A08.31	A0831	Calicivirus enteritis	Root	A00-B99	A00-A09	A08	A08.3	A08.31			A0831   Calicivirus enteritis	0
A08.32	A0832	Astrovirus enteritis	Root	A00-B99	A00-A09	A08	A08.3	A08.32			A0832   Astrovirus enteritis	0
A08.39	A0839	Other viral enteritis	Root	A00-B99	A00-A09	A08	A08.3	A08.39			A0839   Other viral enteritis	0
A08.4	A084	Viral intestinal infection, unspecified	Root	A00-B99	A00-A09	A08	A08.4				A084    Viral intestinal infection, unspecified	0
A08.8	A088	Other specified intestinal infections	Root	A00-B99	A00-A09	A08	A08.8				A088    Other specified intestinal infections	0
A09	A09	Infectious gastroenteritis and colitis, unspecified	Root	A00-B99	A00-A09	A09					A09     Infectious gastroenteritis and colitis, unspecified	0
A15	A15	Respiratory tuberculosis	Root	A00-B99	A15-A19	A15					NA	0
A15.0	A150	Tuberculosis of lung	Root	A00-B99	A15-A19	A15	A15.0				A150    Tuberculosis of lung	0
A15.4	A154	Tuberculosis of intrathoracic lymph nodes	Root	A00-B99	A15-A19	A15	A15.4				A154    Tuberculosis of intrathoracic lymph nodes	0
A15.5	A155	Tuberculosis of larynx, trachea and bronchus	Root	A00-B99	A15-A19	A15	A15.5				A155    Tuberculosis of larynx, trachea and bronchus	0
A15.6	A156	Tuberculous pleurisy	Root	A00-B99	A15-A19	A15	A15.6				A156    Tuberculous pleurisy	0
A15.7	A157	Primary respiratory tuberculosis	Root	A00-B99	A15-A19	A15	A15.7				A157    Primary respiratory tuberculosis	0
A15.8	A158	Other respiratory tuberculosis	Root	A00-B99	A15-A19	A15	A15.8				A158    Other respiratory tuberculosis	0
A15.9	A159	Respiratory tuberculosis unspecified	Root	A00-B99	A15-A19	A15	A15.9				A159    Respiratory tuberculosis unspecified	0
A17	A17	Tuberculosis of nervous system	Root	A00-B99	A15-A19	A17					NA	0
A17.0	A170	Tuberculous meningitis	Root	A00-B99	A15-A19	A17	A17.0				A170    Tuberculous meningitis	0
A17.1	A171	Meningeal tuberculoma	Root	A00-B99	A15-A19	A17	A17.1				A171    Meningeal tuberculoma	0
A17.8	A178	Other tuberculosis of nervous system	Root	A00-B99	A15-A19	A17	A17.8				NA	0
A17.81	A1781	Tuberculoma of brain and spinal cord	Root	A00-B99	A15-A19	A17	A17.8	A17.81			A1781   Tuberculoma of brain and spinal cord	0
A17.82	A1782	Tuberculous meningoencephalitis	Root	A00-B99	A15-A19	A17	A17.8	A17.82			A1782   Tuberculous meningoencephalitis	0
A17.83	A1783	Tuberculous neuritis	Root	A00-B99	A15-A19	A17	A17.8	A17.83			A1783   Tuberculous neuritis	0
A17.89	A1789	Other tuberculosis of nervous system	Root	A00-B99	A15-A19	A17	A17.8	A17.89			A1789   Other tuberculosis of nervous system	0
A17.9	A179	Tuberculosis of nervous system, unspecified	Root	A00-B99	A15-A19	A17	A17.9				A179    Tuberculosis of nervous system, unspecified	0
A18	A18	Tuberculosis of other organs	Root	A00-B99	A15-A19	A18					NA	0
A18.0	A180	Tuberculosis of bones and joints	Root	A00-B99	A15-A19	A18	A18.0				NA	0
A18.01	A1801	Tuberculosis of spine	Root	A00-B99	A15-A19	A18	A18.0	A18.01			A1801   Tuberculosis of spine	0
A18.02	A1802	Tuberculous arthritis of other joints	Root	A00-B99	A15-A19	A18	A18.0	A18.02			A1802   Tuberculous arthritis of other joints	0
A18.03	A1803	Tuberculosis of other bones	Root	A00-B99	A15-A19	A18	A18.0	A18.03			A1803   Tuberculosis of other bones	0
A18.09	A1809	Other musculoskeletal tuberculosis	Root	A00-B99	A15-A19	A18	A18.0	A18.09			A1809   Other musculoskeletal tuberculosis	0
A18.1	A181	Tuberculosis of genitourinary system	Root	A00-B99	A15-A19	A18	A18.1				NA	0
A18.10	A1810	Tuberculosis of genitourinary system, unspecified	Root	A00-B99	A15-A19	A18	A18.1	A18.10			A1810   Tuberculosis of genitourinary system, unspecified	0
A18.11	A1811	Tuberculosis of kidney and ureter	Root	A00-B99	A15-A19	A18	A18.1	A18.11			A1811   Tuberculosis of kidney and ureter	0
A18.12	A1812	Tuberculosis of bladder	Root	A00-B99	A15-A19	A18	A18.1	A18.12			A1812   Tuberculosis of bladder	0
A18.13	A1813	Tuberculosis of other urinary organs	Root	A00-B99	A15-A19	A18	A18.1	A18.13			A1813   Tuberculosis of other urinary organs	0
A18.14	A1814	Tuberculosis of prostate	Root	A00-B99	A15-A19	A18	A18.1	A18.14			A1814   Tuberculosis of prostate	0
A18.15	A1815	Tuberculosis of other male genital organs	Root	A00-B99	A15-A19	A18	A18.1	A18.15			A1815   Tuberculosis of other male genital organs	0
A18.16	A1816	Tuberculosis of cervix	Root	A00-B99	A15-A19	A18	A18.1	A18.16			A1816   Tuberculosis of cervix	0
A18.17	A1817	Tuberculous female pelvic inflammatory disease	Root	A00-B99	A15-A19	A18	A18.1	A18.17			A1817   Tuberculous female pelvic inflammatory disease	0
A18.18	A1818	Tuberculosis of other female genital organs	Root	A00-B99	A15-A19	A18	A18.1	A18.18			A1818   Tuberculosis of other female genital organs	0
A18.2	A182	Tuberculous peripheral lymphadenopathy	Root	A00-B99	A15-A19	A18	A18.2				A182    Tuberculous peripheral lymphadenopathy	0
A18.3	A183	Tuberculosis of intestines, peritoneum and mesenteric glands	Root	A00-B99	A15-A19	A18	A18.3				NA	0
A18.31	A1831	Tuberculous peritonitis	Root	A00-B99	A15-A19	A18	A18.3	A18.31			A1831   Tuberculous peritonitis	0
A18.32	A1832	Tuberculous enteritis	Root	A00-B99	A15-A19	A18	A18.3	A18.32			A1832   Tuberculous enteritis	0
A18.39	A1839	Retroperitoneal tuberculosis	Root	A00-B99	A15-A19	A18	A18.3	A18.39			A1839   Retroperitoneal tuberculosis	0
A18.4	A184	Tuberculosis of skin and subcutaneous tissue	Root	A00-B99	A15-A19	A18	A18.4				A184    Tuberculosis of skin and subcutaneous tissue	0
A18.5	A185	Tuberculosis of eye	Root	A00-B99	A15-A19	A18	A18.5				NA	0
A18.50	A1850	Tuberculosis of eye, unspecified	Root	A00-B99	A15-A19	A18	A18.5	A18.50			A1850   Tuberculosis of eye, unspecified	0
A18.51	A1851	Tuberculous episcleritis	Root	A00-B99	A15-A19	A18	A18.5	A18.51			A1851   Tuberculous episcleritis	0
A18.52	A1852	Tuberculous keratitis	Root	A00-B99	A15-A19	A18	A18.5	A18.52			A1852   Tuberculous keratitis	0
A18.53	A1853	Tuberculous chorioretinitis	Root	A00-B99	A15-A19	A18	A18.5	A18.53			A1853   Tuberculous chorioretinitis	0
A18.54	A1854	Tuberculous iridocyclitis	Root	A00-B99	A15-A19	A18	A18.5	A18.54			A1854   Tuberculous iridocyclitis	0
A18.59	A1859	Other tuberculosis of eye	Root	A00-B99	A15-A19	A18	A18.5	A18.59			A1859   Other tuberculosis of eye	0
A18.6	A186	Tuberculosis of (inner) (middle) ear	Root	A00-B99	A15-A19	A18	A18.6				A186    Tuberculosis of (inner) (middle) ear	0
A18.7	A187	Tuberculosis of adrenal glands	Root	A00-B99	A15-A19	A18	A18.7				A187    Tuberculosis of adrenal glands	0
A18.8	A188	Tuberculosis of other specified organs	Root	A00-B99	A15-A19	A18	A18.8				NA	0
A18.81	A1881	Tuberculosis of thyroid gland	Root	A00-B99	A15-A19	A18	A18.8	A18.81			A1881   Tuberculosis of thyroid gland	0
A18.82	A1882	Tuberculosis of other endocrine glands	Root	A00-B99	A15-A19	A18	A18.8	A18.82			A1882   Tuberculosis of other endocrine glands	0
A18.83	A1883	Tuberculosis of digestive tract organs, not elsewhere classified	Root	A00-B99	A15-A19	A18	A18.8	A18.83			A1883   Tuberculosis of digestive tract organs, not elsewhere classified	0
A18.84	A1884	Tuberculosis of heart	Root	A00-B99	A15-A19	A18	A18.8	A18.84			A1884   Tuberculosis of heart	0
A18.85	A1885	Tuberculosis of spleen	Root	A00-B99	A15-A19	A18	A18.8	A18.85			A1885   Tuberculosis of spleen	0
A18.89	A1889	Tuberculosis of other sites	Root	A00-B99	A15-A19	A18	A18.8	A18.89			A1889   Tuberculosis of other sites	0
A19	A19	Miliary tuberculosis	Root	A00-B99	A15-A19	A19					NA	0
A19.0	A190	Acute miliary tuberculosis of a single specified site	Root	A00-B99	A15-A19	A19	A19.0				A190    Acute miliary tuberculosis of a single specified site	0
A19.1	A191	Acute miliary tuberculosis of multiple sites	Root	A00-B99	A15-A19	A19	A19.1				A191    Acute miliary tuberculosis of multiple sites	0
A19.2	A192	Acute miliary tuberculosis, unspecified	Root	A00-B99	A15-A19	A19	A19.2				A192    Acute miliary tuberculosis, unspecified	0
A19.8	A198	Other miliary tuberculosis	Root	A00-B99	A15-A19	A19	A19.8				A198    Other miliary tuberculosis	0
A19.9	A199	Miliary tuberculosis, unspecified	Root	A00-B99	A15-A19	A19	A19.9				A199    Miliary tuberculosis, unspecified	0
A20	A20	Plague	Root	A00-B99	A20-A28	A20					NA	0
A20.0	A200	Bubonic plague	Root	A00-B99	A20-A28	A20	A20.0				A200    Bubonic plague	0
A20.1	A201	Cellulocutaneous plague	Root	A00-B99	A20-A28	A20	A20.1				A201    Cellulocutaneous plague	0
A20.2	A202	Pneumonic plague	Root	A00-B99	A20-A28	A20	A20.2				A202    Pneumonic plague	0
A20.3	A203	Plague meningitis	Root	A00-B99	A20-A28	A20	A20.3				A203    Plague meningitis	0
A20.7	A207	Septicemic plague	Root	A00-B99	A20-A28	A20	A20.7				A207    Septicemic plague	0
A20.8	A208	Other forms of plague	Root	A00-B99	A20-A28	A20	A20.8				A208    Other forms of plague	0
A20.9	A209	Plague, unspecified	Root	A00-B99	A20-A28	A20	A20.9				A209    Plague, unspecified	0
A21	A21	Tularemia	Root	A00-B99	A20-A28	A21					NA	0
A21.0	A210	Ulceroglandular tularemia	Root	A00-B99	A20-A28	A21	A21.0				A210    Ulceroglandular tularemia	0
A21.1	A211	Oculoglandular tularemia	Root	A00-B99	A20-A28	A21	A21.1				A211    Oculoglandular tularemia	0
A21.2	A212	Pulmonary tularemia	Root	A00-B99	A20-A28	A21	A21.2				A212    Pulmonary tularemia	0
A21.3	A213	Gastrointestinal tularemia	Root	A00-B99	A20-A28	A21	A21.3				A213    Gastrointestinal tularemia	0
A21.7	A217	Generalized tularemia	Root	A00-B99	A20-A28	A21	A21.7				A217    Generalized tularemia	0
A21.8	A218	Other forms of tularemia	Root	A00-B99	A20-A28	A21	A21.8				A218    Other forms of tularemia	0
A21.9	A219	Tularemia, unspecified	Root	A00-B99	A20-A28	A21	A21.9				A219    Tularemia, unspecified	0
A22	A22	Anthrax	Root	A00-B99	A20-A28	A22					NA	0
A22.0	A220	Cutaneous anthrax	Root	A00-B99	A20-A28	A22	A22.0				A220    Cutaneous anthrax	0
A22.1	A221	Pulmonary anthrax	Root	A00-B99	A20-A28	A22	A22.1				A221    Pulmonary anthrax	0
A22.2	A222	Gastrointestinal anthrax	Root	A00-B99	A20-A28	A22	A22.2				A222    Gastrointestinal anthrax	0
A22.7	A227	Anthrax sepsis	Root	A00-B99	A20-A28	A22	A22.7				A227    Anthrax sepsis	0
A22.8	A228	Other forms of anthrax	Root	A00-B99	A20-A28	A22	A22.8				A228    Other forms of anthrax	0
A22.9	A229	Anthrax, unspecified	Root	A00-B99	A20-A28	A22	A22.9				A229    Anthrax, unspecified	0
A23	A23	Brucellosis	Root	A00-B99	A20-A28	A23					NA	0
A23.0	A230	Brucellosis due to Brucella melitensis	Root	A00-B99	A20-A28	A23	A23.0				A230    Brucellosis due to Brucella melitensis	0
A23.1	A231	Brucellosis due to Brucella abortus	Root	A00-B99	A20-A28	A23	A23.1				A231    Brucellosis due to Brucella abortus	0
A23.2	A232	Brucellosis due to Brucella suis	Root	A00-B99	A20-A28	A23	A23.2				A232    Brucellosis due to Brucella suis	0
A23.3	A233	Brucellosis due to Brucella canis	Root	A00-B99	A20-A28	A23	A23.3				A233    Brucellosis due to Brucella canis	0
A23.8	A238	Other brucellosis	Root	A00-B99	A20-A28	A23	A23.8				A238    Other brucellosis	0
A23.9	A239	Brucellosis, unspecified	Root	A00-B99	A20-A28	A23	A23.9				A239    Brucellosis, unspecified	0
A24	A24	Glanders and melioidosis	Root	A00-B99	A20-A28	A24					NA	0
A24.0	A240	Glanders	Root	A00-B99	A20-A28	A24	A24.0				A240    Glanders	0
A24.1	A241	Acute and fulminating melioidosis	Root	A00-B99	A20-A28	A24	A24.1				A241    Acute and fulminating melioidosis	0
A24.2	A242	Subacute and chronic melioidosis	Root	A00-B99	A20-A28	A24	A24.2				A242    Subacute and chronic melioidosis	0
A24.3	A243	Other melioidosis	Root	A00-B99	A20-A28	A24	A24.3				A243    Other melioidosis	0
A24.9	A249	Melioidosis, unspecified	Root	A00-B99	A20-A28	A24	A24.9				A249    Melioidosis, unspecified	0
A25	A25	Rat-bite fevers	Root	A00-B99	A20-A28	A25					NA	0
A25.0	A250	Spirillosis	Root	A00-B99	A20-A28	A25	A25.0				A250    Spirillosis	0
A25.1	A251	Streptobacillosis	Root	A00-B99	A20-A28	A25	A25.1				A251    Streptobacillosis	0
A25.9	A259	Rat-bite fever, unspecified	Root	A00-B99	A20-A28	A25	A25.9				A259    Rat-bite fever, unspecified	0
A26	A26	Erysipeloid	Root	A00-B99	A20-A28	A26					NA	0
A26.0	A260	Cutaneous erysipeloid	Root	A00-B99	A20-A28	A26	A26.0				A260    Cutaneous erysipeloid	0
A26.7	A267	Erysipelothrix sepsis	Root	A00-B99	A20-A28	A26	A26.7				A267    Erysipelothrix sepsis	0
A26.8	A268	Other forms of erysipeloid	Root	A00-B99	A20-A28	A26	A26.8				A268    Other forms of erysipeloid	0
A26.9	A269	Erysipeloid, unspecified	Root	A00-B99	A20-A28	A26	A26.9				A269    Erysipeloid, unspecified	0
A27	A27	Leptospirosis	Root	A00-B99	A20-A28	A27					NA	0
A27.0	A270	Leptospirosis icterohemorrhagica	Root	A00-B99	A20-A28	A27	A27.0				A270    Leptospirosis icterohemorrhagica	0
A27.8	A278	Other forms of leptospirosis	Root	A00-B99	A20-A28	A27	A27.8				NA	0
A27.81	A2781	Aseptic meningitis in leptospirosis	Root	A00-B99	A20-A28	A27	A27.8	A27.81			A2781   Aseptic meningitis in leptospirosis	0
A27.89	A2789	Other forms of leptospirosis	Root	A00-B99	A20-A28	A27	A27.8	A27.89			A2789   Other forms of leptospirosis	0
A27.9	A279	Leptospirosis, unspecified	Root	A00-B99	A20-A28	A27	A27.9				A279    Leptospirosis, unspecified	0
A28	A28	Other zoonotic bacterial diseases, not elsewhere classified	Root	A00-B99	A20-A28	A28					NA	0
A28.0	A280	Pasteurellosis	Root	A00-B99	A20-A28	A28	A28.0				A280    Pasteurellosis	0
A28.1	A281	Cat-scratch disease	Root	A00-B99	A20-A28	A28	A28.1				A281    Cat-scratch disease	0
A28.2	A282	Extraintestinal yersiniosis	Root	A00-B99	A20-A28	A28	A28.2				A282    Extraintestinal yersiniosis	0
A28.8	A288	Other specified zoonotic bacterial diseases, not elsewhere classified	Root	A00-B99	A20-A28	A28	A28.8				A288    Other specified zoonotic bacterial diseases, not elsewhere classified	0
A28.9	A289	Zoonotic bacterial disease, unspecified	Root	A00-B99	A20-A28	A28	A28.9				A289    Zoonotic bacterial disease, unspecified	0
A30	A30	Leprosy [Hansen's disease]	Root	A00-B99	A30-A49	A30					NA	0
A30.0	A300	Indeterminate leprosy	Root	A00-B99	A30-A49	A30	A30.0				A300    Indeterminate leprosy	0
A30.1	A301	Tuberculoid leprosy	Root	A00-B99	A30-A49	A30	A30.1				A301    Tuberculoid leprosy	0
A30.2	A302	Borderline tuberculoid leprosy	Root	A00-B99	A30-A49	A30	A30.2				A302    Borderline tuberculoid leprosy	0
A30.3	A303	Borderline leprosy	Root	A00-B99	A30-A49	A30	A30.3				A303    Borderline leprosy	0
A30.4	A304	Borderline lepromatous leprosy	Root	A00-B99	A30-A49	A30	A30.4				A304    Borderline lepromatous leprosy	0
A30.5	A305	Lepromatous leprosy	Root	A00-B99	A30-A49	A30	A30.5				A305    Lepromatous leprosy	0
A30.8	A308	Other forms of leprosy	Root	A00-B99	A30-A49	A30	A30.8				A308    Other forms of leprosy	0
A30.9	A309	Leprosy, unspecified	Root	A00-B99	A30-A49	A30	A30.9				A309    Leprosy, unspecified	0
A31	A31	Infection due to other mycobacteria	Root	A00-B99	A30-A49	A31					NA	0
A31.0	A310	Pulmonary mycobacterial infection	Root	A00-B99	A30-A49	A31	A31.0				A310    Pulmonary mycobacterial infection	0
A31.1	A311	Cutaneous mycobacterial infection	Root	A00-B99	A30-A49	A31	A31.1				A311    Cutaneous mycobacterial infection	0
